PROBE_ID_REF,GENE_IDENTIFIER,GSM12587,GSM12588,GSM12589,GSM12590,GSM12591,GSM12592,GSM12593,GSM12594,GSM12595,GSM12596,GSM12597,GSM12598,GSM12599,GSM12600,GSM12601,GSM12602,GSM12603,GSM12604,GSM12605,GSM12606
AC002045_xpt2_s_at,LOC102724993,1728.6,713.3,1988.3,1292.2,1568.1,1588.7,916.3,1467,2647.1,1456.9,1945.6,1629.5,1944.2,1549.4,1222.7,2011.3,709.7,936.8,1328,1268.3
AC002073_cds1_at,PIK3IP1,131.7,312.8,139.3,2286.7,1247.9,1724.7,1041.5,750,252.5,1037.1,2299.9,24,304.7,1150.3,2008.1,2833.4,1063.5,1417.2,1059.2,2153.2
AC002076_cds2_at,GNGT1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AC002077_at,GNAT1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AC002086_at,ZBTB33,34.3,29.5,3.2,47.1,56,42.7,32.3,41.7,23.4,13.8,59.2,5.9,5,30.6,35.5,24.1,14.4,12.8,42.7,59.8
AC002115_cds1_at,COX6B1,6368.5,2237,3066,4107.3,3488.4,4431.1,3941,3572.4,4381.8,1527.1,4494.1,5070.2,2875,1630.1,2181.8,2285.2,4340.5,3640.4,1825.6,5042.9
AC002115_cds3_at,ETV2,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AC002115_cds4_at,UPK1A,54.2,47.4,50.6,55.7,40.1,44.6,45.7,52.7,141,99.6,36.1,54.7,100.1,31.9,34.4,41.3,92.6,64.8,28.7,52.8
AC002115_rna2_at,RBM42,545.3,248.1,305.4,377.7,471.8,515.7,422.5,521.2,486,392.1,1004.5,436.9,218.8,498.9,375.3,377.4,409,409,396.3,556.3
AC002450_at,SLC25A13,33.7,11.5,20.6,86.2,61.8,29.6,44.2,77,52,47.2,82.6,13.3,20.5,97.4,56.2,71.9,24.4,19.4,43.8,99
AC002464_at,SLC22A16,31.4,18.5,17.8,16.2,6.5,11.7,17.9,17.5,26.6,31.6,24.3,105.4,36.8,52,14,30.9,16.8,14.4,13.1,13.3
AC002477_s_at,RNF113A,394.9,335.6,396.1,474.4,635,499.9,477.1,539,490.1,396.6,744.6,467.6,275.1,689.7,408.6,404,392.4,372.1,346.8,846.8
AC002486_at,ABCB5,46.5,35.2,14.2,23,28.3,59.5,52.3,36.1,9.9,45.5,65.4,49.6,40.9,29.9,35.4,32.1,51.6,84.7,34.7,64.3
AD000092_cds1_at,MAST1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AD000092_cds2_at,DNASE2,549.2,355.2,409.2,487.5,436.7,470,388.5,474.7,552.3,624.4,700.6,572.1,372.7,832.4,407.5,313.8,343,414.5,443.3,576.4
AD000092_cds7_s_at,RAD23A,179.3,234.5,342.8,459.6,339.6,354.4,284.3,295.4,362.7,708,458.5,336.5,181.5,668.3,247.1,272.7,331.5,274.5,310.4,512.1
AD000684_cds1_at,LSR,131.7,40.4,124.9,112,57.5,117.9,33.6,7.3,62.5,122.9,214.3,19.9,29.8,125.9,126.9,90.8,71.7,127.9,86.3,154.5
AD001527_cds1_at,OVOL3,48.5,62.6,44.5,35.4,42.7,37.5,41,42,17.7,26.7,4.2,93.8,47.6,8.8,19.8,47.5,27.6,55.9,49.7,41.4
AF000177_at,LSM1,624.1,420,399.1,346.9,613,580.9,540.9,743,526.6,501.3,637.5,686.1,383.9,555.7,431.1,301,400.7,392.6,361.6,602.9
